03/05/2016,05:35,20:30,*,Tuesday
04/05/2016,05:33,20:32,*,Wednesday
05/05/2016,05:31,20:33,*,Thursday
06/05/2016,05:29,20:35,NewMoon,Friday
07/05/2016,05:28,20:37,*,Saturday
08/05/2016,05:26,20:38,*,Sunday
09/05/2016,05:24,20:40,*,Monday
10/05/2016,05:23,20:41,*,Tuesday
11/05/2016,05:21,20:43,*,Wednesday
12/05/2016,05:20,20:44,*,Thursday
13/05/2016,05:18,20:46,FirstQuarter,Friday
14/05/2016,05:17,20:47,*,Saturday
15/05/2016,05:15,20:49,*,Sunday
16/05/2016,05:14,20:50,*,Monday
17/05/2016,05:12,20:51,*,Tuesday
18/05/2016,05:11,20:53,*,Wednesday
19/05/2016,05:10,20:54,*,Thursday
20/05/2016,05:09,20:56,*,Friday
21/05/2016,05:07,20:57,FullMoon,Saturday
22/05/2016,05:06,20:58,*,Sunday
23/05/2016,05:05,21:00,*,Monday
24/05/2016,05:04,21:01,*,Tuesday
25/05/2016,05:03,21:02,*,Wednesday
26/05/2016,05:02,21:03,*,Thursday
27/05/2016,05:01,21:05,*,Friday
28/05/2016,05:00,21:06,*,Saturday
29/05/2016,04:59,21:07,LastQuarter,Sunday
30/05/2016,04:58,21:08,*,Monday
31/05/2016,04:57,21:09,*,Tuesday
01/06/2016,04:56,21:10,*,Wednesday
02/06/2016,04:56,21:11,*,Thursday
03/06/2016,04:55,21:12,*,Friday
04/06/2016,04:54,21:13,*,Saturday
05/06/2016,04:54,21:14,NewMoon,Sunday
06/06/2016,04:53,21:15,*,Monday
07/06/2016,04:53,21:16,*,Tuesday
08/06/2016,04:52,21:17,*,Wednesday
09/06/2016,04:52,21:17,*,Thursday
10/06/2016,04:52,21:18,*,Friday
11/06/2016,04:51,21:19,*,Saturday
12/06/2016,04:51,21:19,FirstQuarter,Sunday
13/06/2016,04:51,21:20,*,Monday
14/06/2016,04:51,21:20,*,Tuesday
15/06/2016,04:51,21:21,*,Wednesday
